"","sin1","cos1","sin2","cos2","sin3","cos3","sin4","cos4","sin5","cos5","sin6","cos6","sin7","cos7","sin8","cos8","sin9","cos9","sin10","cos10"
"309",-0.0342080622561048,-0.0516583010732319,0.0570430124342472,0.0241840097071709,-0.0609129429388909,0.0113307094046945,0.0445312227696091,-0.0430783215983824,-0.0133442621357904,0.060503737579934,-0.022279248798125,-0.0578135508862884,0.0504956054858608,0.0359021645546131,-0.0619237507766538,-0.00205443005261156,0.0527641833639887,-0.0324763382637511,-0.0260621732777779,0.0562097386324584
"310",-0.0348285512772984,-0.0512420101968571,0.0576096753745868,0.0228012476922851,-0.060463230179272,0.0135266178100284,0.0424021521342195,-0.0451755363828335,-0.00967388807716418,0.0611979369142515,-0.0264006381091794,-0.0560515646571829,0.0533430082493585,0.0315165839519305,-0.0618336775900932,0.00392019244101809,0.0489356672206725,-0.0380009482349823,-0.0191104845823744,0.0589369236736788
"311",-0.0354439748904393,-0.0508182667655649,0.0581428249022206,0.0214052214536531,-0.0599343820252284,0.0157048223276862,0.0401744290312719,-0.0471676461687618,-0.00596835038365854,0.0616696877468023,-0.0303838580700627,-0.0539962291448995,0.0558104842042112,0.0269065316602067,-0.0611684923879244,0.00985835341619705,0.0445312227696092,-0.0430783215983823,-0.011881189431864,0.0608079676586414
"312",-0.0360542435893146,-0.0503871324079132,0.0586421508668128,0.0199967431049202,-0.0593270906430093,0.0178624720832914,0.0378532364613941,-0.0490500161313734,-0.00224111832155474,0.0619172753095532,-0.0342080622561047,-0.0516583010732319,0.0578804591584915,0.0221048420191686,-0.0599343820252284,0.0157048223276862,0.0396026863171852,-0.0476487022861362,-0.00447930342598227,0.0617956910626315
"313",-0.0366592686174337,-0.0499486698273843,0.0591073627942893,0.0185766320035275,-0.0586421508668128,0.0199967431049202,0.0354439748904393,-0.0508182667655649,0.00149425998596269,0.0619397996459834,-0.0378532364613941,-0.0490500161313735,0.059538190055815,0.0171457142740647,-0.0581428249022206,0.021405221453653,0.0342080622561048,-0.0516583010732319,0.00298765071252974,0.0618857458249485
"314",-0.0372589619809372,-0.0495029427932652,0.059538190055815,0.0171457142740645,-0.0578804591584916,0.0221048420191686,0.03295224968481,-0.0524682840752406,0.00522420680490571,0.0617371788823379,-0.0413003034443458,-0.0461850249376913,0.0607718699803348,0.0120644689971626,-0.0558104842042112,0.0269065316602066,0.0284108404064295,-0.0550599286277289,0.0104112050555092,0.0610768237745084
"315",-0.0378532364613941,-0.0490500161313734,0.0599343820252284,0.0157048223276863,-0.0570430124342472,0.0241840097071709,0.0303838580700628,-0.0539962291448995,0.00893516414421503,0.0613101495252307,-0.0445312227696091,-0.0430783215983824,0.0615727122495596,0.00689729652277916,-0.052959052918132,0.0321575855297736,0.0222792487981249,-0.0578135508862884,0.0176835221173834,0.059380675632854
"316",-0.0384420056284871,-0.0485899557146287,0.0602957082248379,0.0142547943778726,-0.0561309067598478,0.0262315249157857,0.0277447756431356,-0.0553985470712209,0.0126136430377277,0.0606602637845154,-0.047529085223786,-0.0397461652349041,0.0619350129960557,0.00168099918757203,-0.049615052067125,0.0371095432667486,0.0158854506891852,-0.0598867602186967,0.0246989613451211,0.0568219403185286
"317",-0.0390251838525827,-0.0481228284534724,0.0606219584594989,0.012796473952812,-0.055145335916077,0.0282447078192223,0.0250411424695771,-0.0566719752338716,0.0162462725752483,0.0597898839311547,-0.0502782013108317,-0.0362059948908699,0.061856191792305,-0.00354727078805492,-0.0458095840398004,0.0417163469540499,0.00930469526970216,-0.061255156836206,0.0313556136946777,0.053437787032402
"318",-0.0396026863171851,-0.0476487022861363,0.0609129429388909,0.0113307094046944,-0.0540875898362915,0.0302209235264462,0.022279248798125,-0.0578135508862884,0.0198198485044958,0.0587021737105965,-0.0527641833639888,-0.0324763382637511,0.0613368100293759,-0.0087502759105334,-0.0415780433084399,0.045935148935556,0.0026144320473196,-0.0619026359548619,0.0375567820020604,0.0492773753231635
"319",-0.0401744290312719,-0.0471676461687618,0.0611684923879244,0.00985835341619714,-0.0529590529181321,0.0321575855297735,0.01946552042587,-0.0588206180487782,0.0233213812272664,0.0574010868428701,-0.0549740208445198,-0.0285767147390409,0.0603805669185077,-0.0138909586310599,-0.0369597872267378,0.0497267103400626,-0.00410660066305142,-0.0618215773341674,0.0432123856445666,0.0444011409762798
"320",-0.0407403288415092,-0.0466797300653711,0.061388458145214,0.00838026250445144,-0.0517612022115989,0.0340521590901397,0.0166065037480536,-0.0596908336878963,0.0267381430153502,0.0558913526512008,-0.0568961484331543,-0.0245275332343609,0.0589942731440869,-0.0189327052818946,-0.0319977699689767,0.0530557660401079,-0.0107793024176025,-0.0610129349603843,0.0482402690875254,0.0388799180998796
"321",-0.0413003034443458,-0.0461850249376913,0.0615727122495596,0.00689729652277923,-0.0504956054858608,0.035902164554613,0.0137088505272835,-0.0604221731677272,0.0300577142745746,0.054178458871384,-0.0585205065578938,-0.020349985388145,0.0571878023556664,-0.0238396068511931,-0.0267381430153503,0.0558913526512007,-0.0173251415839299,-0.0594862258189826,0.0525673953080774,0.0327939101604937
"322",-0.0418542713979831,-0.0456836027348346,0.0617211475143852,0.00541031816048826,-0.0491639191773301,0.0377051806018108,0.0107793024176026,-0.0610129349603842,0.0332680286888127,0.0522686317044032,-0.0598385940413953,-0.0160659346519058,0.0549740208445197,-0.028576714739041,-0.0212298258992993,0.0582070965207478,-0.023667079586942,-0.057259417888375,0.0561309067598477,0.0262315249157858
"323",-0.0424021521342195,-0.0451755363828335,0.0618336775900932,0.00392019244101813,-0.0477678862216878,0.0394588474109685,0.00782467527941661,-0.0614617446047694,0.0363574170798597,0.0501688131847998,-0.0608435125924007,-0.0116978018665297,0.052368695905597,-0.033110289673111,-0.015524051209321,0.0599814590281079,-0.0297304775828392,-0.0543587186731485,0.0588790384665171,0.019288090168511
"324",-0.0429438659701688,-0.0446608997740348,0.0619102370142965,0.0024277862187278,-0.0463093337726977,0.0411608697505178,0.00485184332177449,-0.0617675579043818,0.0393146498237502,0.0478866359470584,-0.0615300029083664,-0.00726844792143614,0.0493903835375567,-0.0374080420110871,-0.00967388807716421,0.0611979369142515,-0.0354439748904393,-0.0508182667655649,0.0607718699803348,0.0120644689971624
"325",-0.0434793341198486,-0.044139767756353,0.0619507812499001,0.000933967674618598,-0.0447901708107927,0.0428090199821279,0.00186772310889516,-0.0619296633567365,0.0421289776693428,0.0454303954817281,-0.061894472200343,-0.00280105411071846,0.0460602962807161,-0.0414393617183332,-0.00373374858442758,0.0618452157777665,-0.0407403288415093,-0.046679730065371,0.0617819052823278,0.00466559457901031
"326",-0.044008478705639,-0.0436122161223839,0.0619552867110101,-0.000560394188714848,-0.0432123856445668,0.0444011409762795,-0.00112074253184889,-0.0619476838087391,0.0447901708107926,0.042809019982128,-0.0619350129960557,0.00168099918757191,0.0424021521342196,-0.0451755363828335,0.00224111832155462,0.0619172753095532,-0.0455572061658286,-0.041991815386506,0.061894472200343,-0.0028010541107183
"327",-0.0445312227696091,-0.0430783215983824,0.0619237507766538,-0.00205443005261153,-0.0415780433084399,0.045935148935556,-0.00410660066305157,-0.0618215773341674,0.0472885560718934,0.0400320378912391,-0.0616514131227769,0.0061542548740612,0.0384420056284872,-0.0485899557146286,0.0081951406954734,0.0614134452874255,-0.0498379165971039,-0.0368096952221874,0.0611079355428219,-0.0102270135809304
"328",-0.0450474902847092,-0.0425381618331028,0.061856191792305,-0.00354727078805486,-0.0398892828599019,0.0474090361219562,-0.00708290441391517,-0.0615516373312161,0.0496150520671249,0.0371095432667487,-0.0610451568177449,0.0105953018922137,0.0342080622561048,-0.0516583010732319,0.0140729404659946,0.0603384118098147,-0.0535320800658546,-0.0311943584148343,0.0594337208522389,-0.0175044114082237
"329",-0.0455572061658288,-0.0419918153865058,0.0617526490592114,-0.00503804796127315,-0.0381483145798758,0.0488208734846587,-0.0100427291427777,-0.0611384918398795,0.0517612022115988,0.0340521590901398,-0.0601194169603181,0.0149808977515243,0.0297304775828394,-0.0543587186731484,0.0198198485044958,0.0587021737105965,-0.0565962196270233,-0.0252118923728457,0.0568961484331545,-0.0245275332343606
"330",-0.0460602962807162,-0.0414393617183332,0.061613182811532,-0.00652589433893571,-0.0363574170798596,0.0501688131847998,-0.0129791885479225,-0.0605831020807592,0.0537192054599159,0.0308709986531947,-0.058879038466517,0.0192880901685113,0.0250411424695771,-0.0566719752338716,0.0253824130999622,0.0565199495604258,-0.0589942731440868,-0.0189327052818948,0.0535320800658547,-0.0311943584148342
"331",-0.0465566874607603,-0.0408808811765512,0.0614378741812968,-0.00800994439265031,-0.034518934319639,0.0514510910139587,-0.0158854506891853,-0.0598867602186967,0.0554819446622014,0.0275776251622694,-0.0573305129328609,0.0234943371888904,0.0201734559349098,-0.0585815949657609,0.0307088971107398,0.0538120361195542,-0.0606980177076131,-0.0124306974646032,0.0493903835375567,-0.0374080420110871
"332",-0.0470463075116324,-0.0403164549856647,0.0612268251512101,-0.00948933480246934,-0.0326352725394687,0.052666028703186,-0.0187547538830861,-0.0590510863564345,0.0570430124342471,0.0241840097071709,-0.0554819446622015,0.0275776251622692,0.0151620872761139,-0.0600739769161466,0.035749759169164,0.0506036195586539,-0.061687401793243,-0.00578239164093936,0.0445312227696092,-0.0430783215983823
"333",-0.0475290852237859,-0.0397461652349041,0.0609801584953232,-0.010963204959111,-0.0307088971107398,0.0538120361195542,-0.0215804224345011,-0.0580780247652991,0.0583967344477253,0.0207024877474198,-0.0533430082493586,0.0315165839519304,0.010042729142778,-0.0611384918398795,0.0404581144634013,0.046924541203474,-0.0619507812499001,0.000933967674618657,0.0390251838525825,-0.0481228284534725
"334",-0.0480049503828128,-0.0391700948662866,0.0606980177076131,-0.0124306974646032,-0.0287423293092581,0.0548876133473516,-0.0243558821682747,-0.0569698393616774,0.059538190055815,0.0171457142740645,-0.0509248979485394,0.0352905987767431,0.0048518433217743,-0.0617675579043819,0.0447901708107927,0.0428090199821278,-0.0614850563408609,0.00763933503986916,0.0329522496848099,-0.0524682840752407
"335",-0.0484738337796553,-0.038588327662553,0.0603805669185078,-0.0138909586310599,-0.0267381430153503,0.0558913526512008,-0.0270746757246369,-0.0557291084398088,0.060463230179272,0.0135266178100284,-0.0482402690875255,0.0388799180998795,-0.000373598955825053,-0.0619566946900044,0.0487056359668077,0.0382953341565134,-0.060295708224838,0.0142547943778723,0.0264006381091795,-0.0560515646571829
"336",-0.0489356672206724,-0.0380009482349825,0.0600279907994053,-0.0153431389772993,-0.0246989613451211,0.0568219403185286,-0.0297304775828393,-0.0543587186731485,0.0611684923879244,0.00985835341619695,-0.0453031718352419,0.0422657569996889,-0.00559638033626779,-0.0617045551010786,0.0521680923812429,0.0334254652980675,-0.0583967344477252,0.02070248774742,0.0194655204258696,-0.0588206180487783
"337",-0.0493903835375567,-0.0374080420110872,0.0596404944552455,-0.0167863937230139,-0.0226274532172727,0.0576781583789769,-0.0323171087780538,-0.0528618583982596,0.0616514131227769,0.00615425487406131,-0.0421289776693429,0.0454303954817281,-0.0107793024176025,-0.0610129349603843,0.055145335916077,0.0282447078192224,-0.0558104842042112,0.0269065316602066,0.012247638896414,-0.0607352198856089
